"id","mode","profile","created_at","updated_at"
"1","vendor","Vendor Admin","0000-00-00 00:00:00","0000-00-00 00:00:00"
"2","vendor","Agent","0000-00-00 00:00:00","0000-00-00 00:00:00"
"3","vendor","Supervisor","0000-00-00 00:00:00","0000-00-00 00:00:00"
"4","globe","GT Admin","0000-00-00 00:00:00","0000-00-00 00:00:00"
"5","globe","STS Vendor Admin","0000-00-00 00:00:00","0000-00-00 00:00:00"
"6","globe","STS Staff","0000-00-00 00:00:00","0000-00-00 00:00:00"
"7","globe","STS Head","0000-00-00 00:00:00","0000-00-00 00:00:00"
"8","globe","Program Staff","0000-00-00 00:00:00","0000-00-00 00:00:00"
"9","globe","Program Supervisor","0000-00-00 00:00:00","0000-00-00 00:00:00"
"10","globe","Program Head","0000-00-00 00:00:00","0000-00-00 00:00:00"
